;Definition;Type;Example;synonyms
agency;"An agency is a business which provides a service on behalf of other businesses.
";countable noun; We had to hire maids through an agency.;business,company,office,firm,
agenda;"You can refer to the political issues which are important at a particular time as an agenda.
";countable noun; Does television set the agenda on foreign policy?;programme,list,plan,schedule,
agent;"An agent is a person who looks after someone else's business affairs or does business on their behalf.
";countable noun; You are buying direct, rather than through an agent.;representative,deputy,substitute,advocate,spy,mole,secret agent,force,means,power,cause,
aggressive;"An aggressive person or animal has a quality of anger and determination that makes them ready to attack other people.
";adjective; Some children are much more aggressive than others.;hostile,offensive,destructive,belligerent,forceful,powerful,convincing,effective,
ago;"You use ago when you are referring to past time. For example, if something happened one year ago, it is one year since it happened. If it happened a long time ago, it is a long time since it happened.
";adverb; He was killed a few days ago in a skiing accident.;previously,back,before,
agree;"If people agree with each other about something, they have the same opinion about it or say that they have the same opinion.
";verb; If we agreed all the time it would be a bit boring, wouldn't it?;concur,engage,correspond,match,accord,answer,
agreement;"An agreement is a formal decision about future action which is made by two or more countries, groups, or people.
";countable noun; It looks as though a compromise agreement has now been reached.;correspondence,accord,similarity,
agricultural;"Agricultural means involving or relating to agriculture.
";adjective; ...agricultural land.;farming,country,rural,rustic,
ah;"Ah is used in writing to represent a noise that people make in conversation, for example to acknowledge or draw attention to something, or to express surprise or disappointment.
";exclamation; I'm meeting Anna Langenbach. Ah, this seems to be the train now.;
ahead;"Something that is ahead is in front of you. If you look ahead, you look directly in front of you.
";adverb; Brett looked straight ahead.;on,forwards,in advance,winning,leading,in front,before,onwards,
aid;"Aid is money, equipment, or services that are provided for people, countries, or organizations who need them but cannot provide them for themselves.
";uncountable noun; ...convoys delivering humanitarian aid to besieged or isolated communities.;help,relief,support,help,second,support,serve,promote,help,further,forward,
aide;"An aide is an assistant to someone who has an important job, especially in government or in the armed forces.
";countable noun; ...a close aide to the Prime Minister.;assistant,supporter,deputy,attendant,
AIDS;"AIDS is a disease which destroys the natural system of protection that the body has against other diseases. AIDS is an abbreviation for 'acquired immune deficiency syndrome'.
";uncountable noun;;
aim;"If you aim for something or aim to do something, you plan or hope to achieve it.
";verb; He is aiming for the 100 metres world record.;want,seek,intention,end,point,plan,mean,attempt,propose,intend,point,level,train,direct,sight,
air;"Air is the mixture of gases which forms the Earth's atmosphere and which we breathe.
";uncountable noun; Draughts help to circulate air.;wind,blast,breath,breeze,atmosphere,sky,manner,feeling,effect,style,broadcast,show,beam,publicize,tell,reveal,exhibit,exposure,display,expression,publicity,ventilate,expose,freshen,
aircraft;"An aircraft is a vehicle which can fly, for example an aeroplane or a helicopter.
";countable noun; The return flight of the aircraft was delayed.;plane,jet,aeroplane,
airline;"An airline is a company which provides regular services carrying people or goods in aeroplanes.
";countable noun; ...the Dutch national airline KLM.;
airport;"An airport is a place where aircraft land and take off, which has buildings and facilities for
passengers.
";countable noun; Ministers are also considering tougher penalties for flying near airports and prisons.;airfield,
album;"An album is a collection of songs that is available for download, or as a CD or record. You can also refer to the CD or record as an album.
";countable noun; Chris likes music and has a large collection of albums.;record,recording,release,book,collection,
alcohol;"Drinks that can make people drunk, such as beer, wine, and whisky, can be referred to as alcohol.
";uncountable noun; Do either of you smoke cigarettes or drink alcohol?;drink,liquor,
alive;"If people or animals are alive, they are not dead.
";adjective; She does not know if he is alive or dead.;living,animate,lively,spirited,active,vital,existing,active,
all;"You use all to indicate that you are referring to the whole of a particular group or thing or to everyone or everything of a particular kind.
";predeterminer; ...the restaurant that Hugh and all his friends go to.;totally,fully,entirely,
alliance;"An alliance is a group of countries or political parties that are formally united and working together because they have similar aims.
";countable noun; The two parties were still too much apart to form an alliance.;union,league,association,agreement,
allow;"If someone is allowed to do something, it is all right for them to do it and they will not get into trouble.
";verb; The children are not allowed to watch violent TV programmes.;permit,approve,enable,sanction,give,provide,grant,spare,acknowledge,accept,admit,grant,
ally;"A country's ally is another country that has an agreement to support it, especially in war.
";countable noun; Washington would not take such a step without its allies' approval.;partner,friend,colleague,associate,combine,unite,join,link,
almost;"You use almost to indicate that something is not completely the case but is nearly the case.
";adverb; The couple had been dating for almost three years.;nearly,about,
alone;"When you are alone, you are not with any other people.
";adjective; There is nothing so frightening as to be alone in a combat situation.;solitary,isolated,sole,separate,lonely,abandoned,isolated,solely,only,individually,singly,by yourself,unaided,unaccompanied,
along;"If you move or look along something such as a road, you move or look towards one end of it.
";preposition; Newman walked along the street alone.;near,alongside,ahead,on,forwards,in front,
already;"You use already to show that something has happened, or that something had happened before the moment you are referring to. Speakers of British English use already with a verb in a perfect tense, putting it after 'have', 'has', or 'had', or at the end of a clause. Some speakers of American English use already with the simple past tense of the verb instead of a perfect tense.
";adverb; They had already voted for him at the first ballot.;before,previously,
also;"You can use also to give more information about a person or thing, or to add another relevant fact.
";adverb;" It is the work of Ivor Roberts-Jones, who also produced the statue of Churchill in
Parliament Square.";
alter;"If something alters or if you alter it, it changes.
";verb; Little had altered in the village.;change,turn,vary,transform,
alternative;"If one thing is an alternative to another, the first can be found, used, or done instead of the second.
";countable noun; New ways to treat arthritis may provide an alternative to painkillers.;substitute,choice,other,option,different,other,substitute,alternate,
although;"You use although to introduce a subordinate clause which contains a statement which contrasts with the statement in the main clause.
";conjunction; Although he is known to only a few, his reputation among them is very great.;though,while,
always;"If you always do something, you do it whenever a particular situation occurs. If you always did something, you did it whenever a particular situation occurred.
";adverb; Whenever I get into a relationship, I always fall madly in love.;inevitably,forever,ever,for keeps,all the time,forever,
AM;"Am is the first person singular of the present tense of be1. Am is often shortened to 'm in spoken English. The negative forms are 'I am not' and 'I'm not'. In questions and tags in spoken English, these are usually changed to 'aren't I'.
";countable noun; The program starts at 9 a.m.;
amazing;"You say that something is amazing when it is very surprising and makes you feel pleasure, approval, or wonder.
";adjective; It's amazing what we can remember with a little prompting.;astonishing,striking,surprising,brilliant,
American;"American means belonging or relating to the United States of America, or to its people or culture.
";adjective; ...the American Ambassador at the United Nations.;
among;"Someone or something that is situated or moving among a group of things or people is surrounded by them.
";preposition; ...youths in their late teens sitting among adults.;with,between,
amount;"The amount of something is how much there is, or how much you have, need, or get.
";variable noun; He needs that amount of money to survive.;quantity,lot,measure,size,
analysis;"Analysis is the process of considering something carefully or using statistical methods in order to understand it or explain it.
";variable noun; Her criteria defy analysis.;study,reasoning,opinion,judgment,examination,test,division,inquiry,
analyst;"An analyst is a person whose job is to analyse a subject and give opinions about it.
";countable noun; ...a political analyst.;commentator,authority,reporter,
analyze;" to separate (a thing, idea, etc.) into its parts so as to find out their nature, proportion, function, interrelationship, etc.
";verb transitive;He liked to think he had inherited this quality from her, this ability to analyze a problem.;
ancient;"Ancient means belonging to the distant past, especially to the period in history before the end of the Roman Empire.
";adjective; They believed ancient Greece and Rome were vital sources of learning.;classical,old,former,past,
and;"You use and to link two or more words, groups, or clauses.
";conjunction; When he returned, she and Simon had already gone.;also,including,moreover,plus,furthermore,besides,
anger;"Anger is the strong emotion that you feel when you think that someone has behaved in an unfair, cruel, or unacceptable way.
";uncountable noun; He cried with anger and frustration.;rage,passion,outrage,temper,enrage,provoke,outrage,annoy,
angle;"An angle is the difference in direction between two lines or surfaces. Angles are measured in degrees.
";countable noun; The boat is now leaning at a 30 degree angle.;gradient,bank,slope,incline,intersection,point,edge,corner,point of view,position,approach,direction,slant,aim,bend,incline,
angry;"When you are angry, you feel strong dislike or impatience about something.
";adjective; She had been very angry at the person who stole her new bike.;inflamed,severe,painful,nasty,threatening,forbidding,grim,menacing,
animal;"An animal is a living creature such as a dog, lion, or rabbit, rather than a bird, fish, insect, or human being.
";countable noun; He was attacked by wild animals.;creature,beast,brute,brute,devil,monster,savage,
anniversary;"An anniversary is a date which is remembered or celebrated because a special event happened on that date in a previous year.
";countable noun; ...the celebrations of the anniversary of Christopher Columbus's discovery of America.;jubilee,remembrance,commemoration,
announce;"If you announce something, you tell people about it publicly or officially.
";verb; He will announce tonight that he is resigning from office.;signal,herald,
annual;"Annual events happen once every year.
";adjective; ...the annual conference of Britain's trade union movement.;yearly,yearly,yearly,yearly,almanac,guide,handbook,
another;"Another thing or person means an additional thing or person of the same type as one that already exists.
";determiner; Mrs. Madrigal buttered another piece of toast.;
answer;"When you answer someone who has asked you something, you say something back to them.
";verb; I knew Ben was lying when he answered me.;reply,explain,respond,resolve,reply,response,reaction,resolution,acknowledge,get,remedy,solution,vindication,solution,resolution,explanation,defence,response,reply,rebuttal,fit,meet,match,
anticipate;"If you anticipate an event, you realize in advance that it may happen and you are prepared for it.
";verb; At the time we couldn't have anticipated the result of our campaigning.;expect,predict,forecast,
anxiety;"Anxiety is a feeling of nervousness or worry.
";variable noun; Her voice was full of anxiety.;concern,care,worry,
any;"You use any in statements with negative meaning to indicate that no thing or person of a particular type exists, is present, or is involved in a situation.
";determiner; I never make any big decisions.;every,somewhat,
anybody;"Anybody means the same as anyone.
";pronoun; no one who was anybody missed the party;
anymore;"If something does not happen or is not true anymore, it has stopped happening or is no longer true.
";adverb; I don't ride my motorbike much anymore.;
anyone;"You use anyone or anybody in statements with negative meaning to indicate in a general way that nobody is present or involved in an action.
";pronoun; I won't tell anyone I saw you here.;
anything;"You use anything in statements with negative meaning to indicate in a general way that nothing is present or that an action or event does not or cannot happen.
";pronoun; We can't do anything.;
anyway;"You use anyway or anyhow to indicate that a statement explains or supports a previous point.
";adverb;" I'm certain David's told you his business troubles. Anyway, it's no secret that he
owes money.";anyhow,regardless,
anywhere;"You use anywhere in statements with negative meaning to indicate that a place does not exist.
";adverb; I haven't got anywhere to live.;
apart;"When people or things are apart, they are some distance from each other.
";adverb; He was standing a bit apart from the rest of us, watching us.;aside,away,alone,
apartment;"An apartment is a set of rooms for living in, usually on one floor of a large building.
";countable noun; Christina has her own apartment, with her own car.;flat,room,suite,compartment,quarters,accommodation,
apparent;"An apparent situation, quality, or feeling seems to exist, although you cannot be certain that it does exist.
";adjective; I was a bit depressed by our apparent lack of progress.;seeming,supposed,alleged,outward,obvious,marked,clear,plain,
apparently;"You use apparently to indicate that the information you are giving is something that you have heard, but you are not certain that it is true.
";adverb; Oil prices fell this week, apparently because of over-production.;allegedly,on the face of it,seemingly,outwardly,ostensibly,
appeal;"If you appeal to someone to do something, you make a serious and urgent request to them.
";verb; The Prime Minister appealed to young people to use their vote.;plead,call,ask,apply,plea,call,application,request,attraction,charm,fascination,charisma,
appear;"If you say that something appears to be the way you describe it, you are reporting what you believe or what you have been told, though you cannot be sure it is true.
";link verb;" There appears to be increasing support for the leadership to take a more aggressive
stance.";seem,seem,occur,emerge,occur,attend,come out,perform,play,act,enter,
appearance;"When someone makes an appearance at a public event or in a broadcast, they take part in it.
";countable noun; It was the president's second public appearance to date.;look,face,form,air,arrival,presence,occurrence,development,emergence,manifestation,
apple;"An apple is a round fruit with smooth green, yellow, or red skin and firm white flesh.
";variable noun; I want an apple.;
application;"An application for something such as a job or membership of an organization is a formal written request for it.
";countable noun; His application for membership of the organisation was rejected.;request,claim,demand,appeal,relevance,use,value,practice,effort,work,study,industry,use,practice,exercise,
apply;"If you apply for something such as a job or membership of an organization, you write a letter or email, or fill in a form in order to ask formally for it.
";verb; I am continuing to apply for jobs.;request,seek,appeal,concern,relate,refer,use,exercise,employ,
appoint;"If you appoint someone to a job or official position, you formally choose them for it.
";verb; It made sense to appoint a banker to this job.;assign,name,choose,commission,
appointment;"The appointment of a person to a particular job is the choice of that person to do it.
";variable noun; His appointment to the Cabinet would please the right-wing.;selection,election,job,office,position,post,meeting,interview,date,session,
appreciate;"If you appreciate something, for example a piece of music or good food, you like it because you recognize its good qualities.
";verb; Anyone can appreciate our music.;enjoy,like,value,regard,know,understand,estimate,increase,rise,grow,gain,
approach;"When you approach something, you get closer to it.
";verb; He didn't approach the front door at once.;reach,near,access,way,drive,road,tackle,undertake,way,means,course,style,approximate,
appropriate;"Something that is appropriate is suitable or acceptable for a particular situation.
";adjective; It is appropriate that Irish names dominate the list.;suitable,right,fitting,fit,fitness,relevance,seize,take,claim,assume,
approval;"If you win someone's approval for something that you ask for or suggest, they agree to it.
";uncountable noun; ...efforts to win congressional approval for an aid package for Moscow.;consent,agreement,sanction,licence,favour,liking,regard,respect,
approve;"If you approve of an action, event, or suggestion, you like it or are pleased about it.
";verb; Not everyone approves of the festival.;second,allow,pass,
approximately;"close to; around; roughly or in the region of
";adverb;Number two is twenty-seven meters down, approximately six meters to go.;
Arab;"Arabs are people who speak Arabic and who come from the Middle East and parts of North Africa.
";countable noun; The Arab world is particularly keen on the use of cardamom with tea.;
architect;"An architect is a person who designs buildings.
";countable noun; ...the landscape architect for Hampshire county council.;creator,father,engineer,
area;"An area is a particular part of a town, a country, a region, or the world.
";countable noun; ...the large number of community groups in the area.;region,land,quarter,division,part,section,sector,portion,range,reach,size,sweep,realm,part,field,
argue;"If one person argues with another, they speak angrily to each other about something that they disagree about. You can also say that two people argue.
";verb; The committee is concerned about players' behaviour, especially arguing with referees.;quarrel,fight,row,clash,discuss,debate,dispute,claim,question,reason,challenge,
argument;"An argument is a statement or set of statements that you use in order to try to convince people that your opinion about something is correct.
";variable noun; There's a strong argument for lowering the price.;reason,case,reasoning,debate,claim,row,
arise;"If a situation or problem arises, it begins to exist or people start to become aware of it.
";verb; ...if a problem arises later in the pregnancy.;happen,start,begin,follow,awaken,get up,rise,ascend,rise,lift,
arm;"Your arms are the two long parts of your body that are attached to your shoulders and that
have your hands at the end.
";countable noun; She stretched her arms out.;limb,appendage,inlet,bay,passage,entrance,branch,part,office,department,equip,provide,supply,outfit,provide,prime,prepare,protect,
armed;"Someone who is armed is carrying a weapon, usually a gun.
";adjective; City police said the man was armed with a revolver.;prepared,
army;"An army is a large organized group of people who are armed and trained to fight on land in a war. Most armies are organized and controlled by governments.
";countable noun; After returning from France, he joined the army.;military,host,gang,mob,
around;"To be positioned around a place or object means to surround it or be on all sides of it. To move around a place means to go along its edge, back to your starting point.
";preposition; She looked at the papers around her.;surrounding,about,about,near,close,nearby,handy,
arrange;"If you arrange an event or meeting, you make plans for it to happen.
";verb; She arranged an appointment for Friday afternoon at four-fifteen.;plan,agree,prepare,determine,group,form,order,adapt,score,orchestrate,harmonize,
arrangement;"Arrangements are plans and preparations which you make so that something will happen or be possible.
";countable noun; The staff is working frantically on final arrangements for the summit.;agreement,contract,settlement,appointment,adaptation,score,version,interpretation,
arrest;"If the police arrest you, they take charge of you and take you to a police station, because they believe you may have committed a crime.
";verb; Police arrested five young men in connection with one of the attacks.;capture,catch,stop,end,hold,limit,fascinate,hold,involve,catch,striking,surprising,engaging,dramatic,
arrival;"When a person or vehicle arrives at a place, you can refer to their arrival.
";variable noun; ...the day after his arrival in England.;appearance,coming,entrance,coming,happening,newcomer,incomer,visitor,birth,delivery,childbirth,nativity,
arrive;"When a person or vehicle arrives at a place, they come to it at the end of a journey.
";verb; Fresh groups of guests arrived.;come,appear,enter,turn up,occur,happen,take place,ensue,succeed,triumph,
art;"Art consists of paintings, sculpture, and other pictures or objects which are created for people to look at and admire or think deeply about.
";uncountable noun; ...the first exhibition of such art in the West.;artwork,creativity,skill,knowledge,method,facility,
article;"An article is a piece of writing that is published in a newspaper or magazine.
";countable noun; ...a newspaper article.;feature,story,paper,piece,
artist;"An artist is someone who draws or paints pictures or creates sculptures as a job or a hobby.
";countable noun; ...the studio of a great artist.;creator,master,maker,craftsman or woman or person,
artistic;"Someone who is artistic is good at drawing or painting, or arranging things in a beautiful way.
";adjective; They encourage boys to be sensitive and artistic.;creative,cultured,original,sensitive,
as;"If something happens as something else happens, it happens at the same time.
";conjunction; Another police officer has been injured as fighting continued this morning.;while,being,like,because,
